Compound,Life_extended,CAS Number,SMILES,PubChem_Common_Name,PubChem_CID
,0,,COc1ccccc1CNCCCCCCNCCCCCCCCNCCCCCCNCc1ccccc1OC,Methoctramine,4108
,0,,COc1ccccc1N1CCN(CCCCNC(=O)c2ccc3ccccc3c2)CC1,BP 897,3038495
,0,,COc1ccccc1N1CCN(CCCNc2cc(=O)n(C)c(=O)n2C)CC1,urapidil,5639
,0,,COc1ccccc1N1CCN(CCCNc2c(C)c(=O)n(C)c(=O)n2C)CC1,5-Methylurapidil,5640
,0,,COc1ccccc1N1CCN(CCN(C(=O)C2CCCCC2)c2ccccn2)CC1,WAY-100635,5684
,0,,COc1ccccc1N1CCN(CCN2C(=O)CC3(CCCC3)CC2=O)CC1,Bmy-7378,2419
,0,,COc1ccccc1N1CCNCC1,1-(2-Methoxyphenyl)piperazine,1346
,0,,COc1ccccc1NC(=O)Nc1nc(-c2cccnc2)nc2ccccc12,VUF 5574,4046493
,0,,CNCCC(Oc1ccccc1OC)c1ccccc1,Nisoxetine,4500
,0,,Cc1cccc(C)c1OCC(N)C(C)C,"1-(2,6-dimethylphenoxy)-3-methyl-2-butanamine",10035933
,0,,Cc1cccc(C)c1OCC(C)N,Mexiletine,4178
,0,,Cc1ccc(OCC(O)C(C)NC(C)C)c2c1CCC2,"ICI-118,551",3682
,0,,CCc1ccccc1OCC(O)CNC1CCc2ccccc2C1,"1-(2-ethylphenoxy)-3-(1,2,3,4-tetrahydronaphthalen-2-ylamino)propan-2-ol",73153272
,0,,COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1,RANOLAZINE,56959
,0,,CC(C)(C)NCC(O)COc1cccc2[nH]c(=O)[nH]c12,Cgp 12177,2687
,0,,CC(C)NCC(O)COc1cccc2[nH]ccc12,pindolol,4828
,0,,CC(C)NCC(O)COc1cccc2ccccc12,propranolol,4946
,0,,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,atenolol,2249
,0,,COCCc1ccc(OCC(O)CNC(C)C)cc1,metoprolol,4171
,0,,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,betaxolol,2369
,0,,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,BISOPROLOL,2405
,0,,C=CCc1ccccc1OCC(O)CNC(C)C,alprenolol,2119
,0,,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,propafenone,4932
,0,,COc1ccc(C2CNC(=O)C2)cc1OC1CCCC1,rolipram,5092
,0,,CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(C#N)cc4)cc3)nc2n(CCC)c1=O,"N-(4-Cyanophenyl)-2-[4-(2,3,6,7-tetrahydro-2,6-dioxo-1,3-dipropyl-1H-purin-8-yl)phenoxy]-acetamide",6603931
,0,,CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)NCCN)cc3)nc2n(CCC)c1=O,Xanthine amine congener,5697
,0,,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,bepridil,2351
,0,,CCCC(C)(COC(N)=O)COC(=O)NC(C)C,carisoprodol,2576
,0,,NC(=O)OCC(COC(N)=O)c1ccccc1,felbamate,3331
,0,,C[N+](C)(C)CCOC(N)=O,Carbamylcholine,2551
,0,,CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC,Triethylgallamine,3450
,0,,CC[N+](CC)(CC)CCOc1ccc(C=Cc2ccccc2)cc1,DTXSID50860999,17361
,0,,CC(C)C(NC(=O)OCc1ccccc1)C(=O)NC(C=O)Cc1ccccc1,Calpain Inhibitor III,9907994
,0,,Cc1nc2c(OCc3ccccc3)cccn2c1CC#N,Sch 28080,108137
,0,,Nc1nc(OCc2ccccc2)c2[nH]cnc2n1,o6-benzylguanine,4578
,0,,CCCCCC(O)c1cccc(OCc2ccc3ccccc3n2)c1,Rev 5901,5059
,0,,O=C(O)c1ccccc1Nc1cccc(OCc2ccc3ccccc3n2)c1,SR 2640,128355
,0,,CCCOc1ccccc1-c1nc2n[nH]nc2c(=O)[nH]1,zaprinast,135399235
,0,,CN(C(=O)CCCOc1ccc2[nH]c(=O)ccc2c1)C1CCCCC1,cilostamide,2753
,0,,CCCCOc1cc(CC2CNC(=O)N2)ccc1OC,RO 20-1724,5087
,0,,COc1ccc(CCCOc2cc(CCn3ccnc3)ccc2OC)cc1,1-[2-[4-methoxy-3-[3-(4-methoxyphenyl)propoxy]phenyl]ethyl]imidazole,4564402
,0,,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,cilostazol,2754
,0,,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,pentamidine,4735
,0,,CCC(=C(c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,7728-73-6,5376
,0,,CN(CCOc1ccc(CC(Nc2ccccc2C(=O)c2ccccc2)C(=O)O)cc1)c1ccccn1,2-(2-benzoylanilino)-3-[4-[2-[methyl(2-pyridinyl)amino]ethoxy]phenyl]propanoic acid,4516886
,0,,O=C(O)CN(CCOCCOCCN(CC(=O)O)CC(=O)O)CC(=O)O,67-42-5,6207
,0,,NC(N)=NOCCC(N)C(=O)O,DL-Canavanine,275
,0,,O=C(O)C=C1CCCc2ccccc2C1O,Ncs-382,131414
,0,,CC(=O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C,MLS001335972,262961
,0,,CC12CCC(O)CC1CCC1C2CCC2(C)C(C(=O)CO)CCC12,MLS002706541,270840
,0,,CCCCCCC(C(C)O)n1cnc2c(N)ncnc21,9-(2-hydroxy-3-nonyl)adenine,3206
,0,,CNC(C)C(O)c1ccccc1,53214-57-6,5032
,0,,OCC1NCC(O)C1O,"2-(hydroxymethyl)pyrrolidine-3,4-diol",1335
,0,,Nc1c2c(nc3ccccc13)CCCC2O,Velnacrine,3655
,0,,COC(=O)C1C(O)CCC2CN3CCc4c([nH]c5ccccc45)C3CC21,Amberlite CG-400,2866
,0,,O=[N+]([O-])c1cccc2cn[nH]c12,7-nitroindazole,1893
,0,,N#Cc1cc2[nH]c(=O)c(=O)[nH]c2cc1[N+](=O)[O-],"6-CYANO-7-NITROQUINOXALINE-2,3-DIONE",3721046
,0,,CC(=O)C(C)=NO,"2,3-BUTANEDIONE-2-OXIME",6398969
,0,,CC(=O)C(C)=O,"2,3-butanedione",650
,0,,CC(C)C(=O)c1c(C(C)C)nn2ccccc12,ibudilast,3671
,0,,CN1C(CC(=O)c2ccccc2)CCCC1CC(O)c1ccccc1,Lobelin,3945
,0,,CCCn1c(C)c(C(=O)c2cccc3ccccc23)c2ccccc21,JWH-015,4273754
,0,,C=CCc1ccc([N+](C)(C)CCC(=O)CC[N+](C)(C)c2ccc(CC=C)cc2)cc1,BW 284c51,6603715
,0,,CC(C)N(CCC(=O)c1ccc2ccccc2c1)Cc1ccccc1,273727-89-2,3797
,0,,CN(C)C(=O)N=NC(=O)N(C)C,"1,1'-azobis(N,N'-dimethylformamide)",4278
,0,,CC(N)=O,acetamide,178
,0,,NC(=O)c1cccc(N)c1,3-aminobenzamide,1645
,0,,NC(=O)c1cc(N2CC2)c([N+](=O)[O-])cc1[N+](=O)[O-],Tretazicar,89105
,0,,NC(=O)c1ccc2[nH]ccc2c1,1H-Indole-5-carboxamide,14973220
,0,,CCCN(CCC)CCc1c[nH]c2ccc(C(N)=O)cc12,Dipropyl-5-CT,156314
,0,,NCCc1c[nH]c2ccc(C(N)=O)cc12,5-Carboxamidotryptamine,1809
,0,,NC(=O)c1ccccc1,Benzamide,2331
,0,,NC(=O)c1cnccn1,pyrazinamide,1046
,0,,NC(=O)CNCCC(c1ccccc1)c1ccccc1,76991-05-4,6603827
,0,,NC(=O)N1c2ccccc2C=Cc2ccccc21,carbamazepine,2554
,0,,CCN(CC)C(=O)NC1CC2c3cccc4[nH]cc(c34)CC2N(C)C1,Tergurid; Terguride; trans-Dihydrolisuride,5406
,0,,CCC(NC(=O)c1c(C)c(-c2ccccc2)nc2ccccc12)c1ccccc1,SB408124 Hydrochloride,3946663
,0,,CCC(=O)N1CCN(C(=O)c2ccccc2)CC1,SUNIFIRAM,4223812
,0,,CNC(=O)c1cc2c(cn1)[nH]c1ccccc12,78538-74-6,4375
,0,,Cc1cccc(C)c1NC(=O)C(C)N,tocainide,38945
,0,,Cc1cccc(C)c1NC(=O)C[N+](C)(C)C,21236-55-5,5014
,0,,CC[N+](CC)(CC)CC(=O)Nc1c(C)cccc1C,QX-314,3925
,0,,CCN(CC)CC(=O)Nc1c(C)cccc1C,lidocaine,3676
,0,,CN1C2CCC1CC(NC(=O)c1nn(C)c3ccccc13)C2,LY 278584,3970
,0,,CCCNC(C)C(=O)Nc1ccccc1C,prilocaine,4906
,0,,CC(N)C1CCC(C(=O)Nc2ccncc2)CC1,4-(1-aminoethyl)-N-pyridin-4-yl-1-cyclohexanecarboxamide,5711
,0,,CCN(CC)CCNC(=O)c1ccc(N)cc1,PROCAINAMIDE,4913
,0,,CCN(CC)CCNC(=O)c1ccc(NC(C)=O)cc1,N-Acetylprocainamide,4342
,0,,Cc1cccc(C(=O)NCN2CCN(c3ccccc3C#N)CC2)c1,PD-168077,3645619
,0,,CC(C)NNC(=O)c1ccncc1,iproniazid,3748
,0,,O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1,Nialamide,4472
,0,,NC(=O)NO,hydroxyurea,3657
,0,,CC=C1C(=O)CC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,SCHEMBL13304392,53394010
,0,,Cc1cc(C)c(C=C2C(=O)Nc3ccccc32)[nH]1,"3-[(3,5-dimethyl-1H-pyrrol-2-yl)methylidene]-1H-indol-2-one",123015
,0,,CC(=O)C1CCC2C3CCC4CC(O)CCC4(C)C3C(=O)CC12C,Alfadione,256278
,0,,CC1=C(C)C(=O)C(CCCCC#CCCCC#CCO)=C(C)C1=O,DOCEBENONE,1967
,0,,CN(N=O)c1ccc(O)c(O)c1,"3,4-dephostatin",1607
,0,,O=C(O)c1cc(=O)cc(C(=O)O)[nH]1,CHELIDAMIC ACID,8743
,0,,O=C(O)c1cc(=O)c2ccccc2[nH]1,kynurenic acid,3845
,0,,CC12C=CC(=O)C=C1CCC1C2=CCC2(C)C(C(=O)CN3CCN(c4cc(N5CCCC5)nc(N5CCCC5)n4)CC3)CCC12,Spectrum_001995,5622
,0,,O=C1C=CC(=O)C=C1,p-benzoquinone,4650
,0,,CN(N=O)c1cc(O)ccc1O,dephostatin,2990
,0,,O=C1c2ccccc2-c2n[nH]c3cccc1c23,129-56-6,8515
,0,,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,nalidixic acid,4421
,0,,CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O,3-Epiandrosterone,225
,0,,CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,Loxoprofen,3965
,0,,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C(C(=O)CO)CCC12,NCIOpen2_009128,439739
,0,,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,"1-acetyl-9a,11a-dimethyl-1H,2H,3H,3aH,3bH,4H,5H,7H,8H,9H,9aH,9bH,10H,11H,11aH-cyclopenta[a]phenanthren-7-one",4920
,0,,O=C(O)CCC(C(=O)O)N1C(=O)c2ccccc2C1=O,2301-52-2,92225
,0,,CN1C(=O)CCC1c1cccnc1,15569-85-4,408
,0,,Cn1c(=O)c2[nH]c(-c3ccccc3)nc2n(C)c1=O,8-Phenyltheophylline,1922
,0,,Cn1c(=O)c2[nH]c(C3CCCC3)nc2n(C)c1=O,"8-Cyclopentyl-1,3-dimethylxanthine",1917
,0,,COCc1nc2c([nH]1)c(=O)n(C)c(=O)n2CC(C)C,78033-08-6,155806
,0,,CC(C)Cn1c(=O)n(C)c(=O)c2[nH]cnc21,3-Isobutyl-1-methylxanthine,3758
,0,,NC(=O)CN1CC(O)CC1=O,oxiracetam,4626
,0,,Cc1ccc(=O)n(-c2ccccc2)c1,PIRFENIDONE,40632
,0,,O=C1N(c2ccccc2)c2ccccc2C1(Cc1ccncc1)Cc1ccncc1,Linopirdine,3932
,0,,CCN1C(=O)C=CC1=O,N-ethylmaleimide,4362
,0,,C#CCn1c(=O)c2c(ncn2C)n(C)c1=O,"3,7-Dimethyl-1-propargylxanthine",99562
,0,,C#Cc1ccc2c(c1)C(=O)N(C)Cc1c(C(=O)OCCCOC(=O)c3ncn4c3CN(C)C(=O)c3cc(C#C)ccc3-4)ncn1-2,CHEMBL35571,5255267
,0,,CCCn1c(=O)c2[nH]c(C3CCCC3)nc2n(CCC)c1=O,"8-Cyclopentyl-1,3-dipropylxanthine",1329
,0,,CCCn1c(=O)c2c(ncn2C)n(CCC)c1=O,"1,3-Dipropyl-7-methylxanthine",161713
,0,,C[N+](C)(CCCCCC[N+](C)(C)CCCN1C(=O)c2cccc3cccc(c23)C1=O)CCCN1C(=O)c2cccc3cccc(c23)C1=O,WB 64,405252
,0,,NC(=O)CN1CCCC1=O,piracetam,4843
,0,,C[N+](C)(C)CC#CCN1CCCC1=O,Oxotremorine M,4629
,0,,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,pentoxifylline,4740
,0,,CCCn1cnc2c1c(=O)n(CCCCC(C)=O)c(=O)n2C,propentofylline,4938
,0,,CC(C)COC(=O)OCN1C(=O)CN(CCN2CC(=O)N(COC(=O)OCC(C)C)C(=O)C2)CC1=O,sobuzoxane,5233
,0,,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,phenylbutazone,4781
,0,,NC1CCN(O)C1=O,HA-966,1232
,0,,CC(C)(C)NC(=O)C1CCC2C3CCC4NC(=O)C=CC4(C)C3CCC12C,1212235-84-1,3350
,0,,Nc1cc(=O)[nH]c(N)n1,"2,4-Diamino-6-hydroxypyrimidine",135408763
,0,,Nc1nc2[nH]c(=O)cnc2c(=O)[nH]1,Isoxanthopterin,135398700
,0,,CC(O)C(O)C1CNc2nc(N)[nH]c(=O)c2N1,tetrahydrobiopterin,135402045
,0,,CC(O)C(=O)C1=Nc2c(nc(N)[nH]c2=O)NC1,ZINC00895402,135433595
,0,,Nc1nc2c(ncn2COC(CO)CO)c(=O)[nH]1,ganciclovir,135398740
,0,,Nc1nc2c(ncn2COCCO)c(=O)[nH]1,acyclovir,135398513
,0,,O=Nc1c(-c2c(O)[nH]c3ccccc23)[nH]c2ccccc12,INDIRUBIN-3'-MONOXIME,3707
,0,,O=c1[nH]cnc2[nH]ncc12,allopurinol,135401907
,0,,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,praziquantel,4891
,0,,O=c1c2ccccc2nc2n1CCc1c-2[nH]c2ccccc12,Rutaecarpine,65752
,0,,Nc1ccc2c3c(cccc13)C(=O)NC2=O,"4-Amino-1,8-naphthalimide",1720
,0,,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,thalidomide,5426
,0,,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,aminoglutethimide,2145
,0,,NC(Cn1ccc(=O)[nH]c1=O)C(=O)O,DL-Willardiine,5123
,0,,CCCn1c(=O)[nH]c(=O)c2[nH]cnc21,ENPROFYLLINE,1676
,0,,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,phenytoin,1775
,0,,O=c1[nH]c(=O)c2nc3ccccc3nc2[nH]1,Alloxazine,5372720
,0,,Cc1[nH]c(=O)c(C#N)cc1-c1ccc2nccn2c1,Olprinone,4593
,0,,Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1,milrinone,4197
,0,,O=c1[nH]c2ccccc2c2ccccc12,6(5H)-Phenanthridinone,1853
,0,,CCCN(CCC)CCc1cccc2c1CC(=O)N2,ropinirole,5095
,0,,CCCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1,"1-(1-butyl-piperidin-4-yl)-1,3-dihydro-benzimidazol-2-one",4549642
,0,,O=c1[nH]c2cc([N+](=O)[O-])c([N+](=O)[O-])cc2[nH]c1=O,FG-9041,3899541
,0,,CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1,pirenzepine,4848
,0,,CCC1(c2ccccc2)C(=O)NCNC1=O,primidone,4909
,0,,CN=C(NC#N)Nc1ccc(C2=NNC(=O)CC2C)cc1,Siguazodan,72124
,0,,O=C1CCC(c2ccc(-n3ccnc3)cc2)=NN1,IMAZODAN,55918
,0,,CCC(C)C(=O)OC1CCC=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,84173-29-5,2854
,0,,COc1ccc2c(c1OC)C(=O)OC2C1c2c(cc3c(c2OC)OCO3)CCN1C,10421-76-8,4544
,0,,COc1ccc2c(c1OC)C(=O)OC2C1c2cc3c(cc2CCN1C)OCO3,"1(3H)-Isobenzofuranone, 6,7-dimethoxy-3-(5,6,7,8-tetrahydro-6-methyl-1,3-dioxolo[4,5-g]isoquinolin-5-yl)-, [S-(R*,S*)]-",1309
,0,,C[N+]1(C)CCc2cc3c(cc2C1C1OC(=O)c2c1ccc1c2OCO1)OCO3,CHEMBL1623573,1248
,0,,Nc1ccn(C2CCC(CO)O2)c(=O)n1,4-amino-1-[5-(hydroxymethyl)oxolan-2-yl]pyrimidin-2-one,5718
,0,,CC1OCC(C[N+](C)(C)C)O1,L000018,20411
,0,,CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(C(=O)CO)O1,(R)-Budesonide,2462
,0,,C=CCN1CCC23c4c5ccc(O)c4OC2C(=NNC(=O)c2ccccc2)CCC3(O)C1C5,"N-[(4a,9-dihydroxy-3-prop-2-enyl-2,4,5,6,7a,13-hexahydro-1H-4,12-methanobenzofuro[3,2-e]isoquinoline-7-ylidene)amino]benzamide",4426
,0,,CCCC[N+]1(C)C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,Butylscopolamine BR,3636
,0,,CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,7-Epi Paclitaxel,4666
,0,,C=CCN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3(O)C1C5,"4a,9-dihydroxy-3-prop-2-enyl-2,4,5,6,7a,13-hexahydro-1H-4,12-methanobenzofuro[3,2-e]isoquinolin-7-one",4425
,0,,O=C(O)C1C2CCC(O2)C1C(=O)O,endothall,3225
,0,,CC(C)CC(NC(=O)C1OC1C(=O)O)C(=O)NCCCCN=C(N)N,e-64,4641099
,0,,CNC(=O)C1OC(n2cnc3c(N)ncnc32)C(O)C1O,"Ribofuranuronamide, .beta.-D-",288044
,0,,CNC(=O)C1OC(n2cnc3c(NCc4ccc(N)cc4)ncnc32)C(O)C1O,AB-MECA,1970
,0,,CCNC(=O)C1OC(n2cnc3c(N)nc(NCCc4ccc(CCC(=O)O)cc4)nc32)C(O)C1O,"3-[4-[2-[[6-amino-9-[5-(ethylcarbamoyl)-3,4-dihydroxy-2-oxolanyl]-2-purinyl]amino]ethyl]phenyl]propanoic acid",2691
,0,,CCNC(=O)C1OC(n2cnc3c(N)ncnc32)C(O)C1O,"5-(6-aminopurin-9-yl)-N-ethyl-3,4-dihydroxy-2-oxolanecarboxamide",2868392
,0,,CCCCC#Cc1nc(N)c2ncn(C3OC(C(=O)NCC)C(O)C3O)c2n1,Heneca,4438292
,0,,CC(=O)C1(O)Cc2c(O)c3c(c(O)c2C(OC2CC(N)C(O)C(C)O2)C1)C(=O)c1ccccc1C3=O,"9-acetyl-7-(4-amino-5-hydroxy-6-methyloxan-2-yl)oxy-6,9,11-trihydroxy-8,10-dihydro-7H-tetracene-5,12-dione",3685
,0,,CC1OC(C[N+](C)(C)C)CC1O,DTXSID101018055,5079496
,0,,CNc1ccc2oc(CC3OC4(CCC3C)OC(C(C)C(=O)c3ccc[nH]3)C(C)CC4C)nc2c1C(=O)O,DL-Calcimycin,1959
,0,,NCC1OC(OC2C(CO)OC(OC3C(O)C(N)CC(N)C3OC3OC(CO)C(O)C(O)C3N)C2O)C(N)C(O)C1O,"5-amino-2-(aminomethyl)-6-[5-[3,5-diamino-2-[3-amino-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-6-hydroxycyclohexyl]oxy-4-hydroxy-2-(hydroxymethyl)oxolan-3-yl]oxyoxane-3,4-diol",4689
,0,,Cc1cn(C2CC(N=[N+]=[N-])C(CO)O2)c(=O)[nH]c1=O,NSC602670,5726
,0,,Nc1ncn(C2OC(CO)C(O)C2O)c(=O)n1,"Azacytidine, 5-",1805
,0,,Nc1nccc2c1ncn2C1OC(CO)C(O)C1O,MLS003106659,1651
,0,,Nc1nc(Nc2ccccc2)nc2c1ncn2C1OC(CO)C(O)C1O,"2-(6-amino-2-anilino-9-purinyl)-5-(hydroxymethyl)oxolane-3,4-diol",1585
,0,,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,"2-(6-aminopurin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol",191
,0,,CC(Cc1ccccc1)Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,R-PIA,5022
,0,,OCC1OC(n2cnc3c(NC4CC5CCC4C5)ncnc32)C(O)C1O,SCHEMBL14829269,15599139
,0,,OCC1OC(n2cnc3c(NC4CCCC4O)ncnc32)C(O)C1O,SCHEMBL14829984,4545575
,0,,CNc1ncnc2c1ncn2C1OC(CO)C(O)C1O,NSC 29409,1869
,0,,OCC1OC(n2cnc3c(NC4CCCC4)ncnc32)C(O)C1O,"2-[6-(cyclopentylamino)-9-purinyl]-5-(hydroxymethyl)oxolane-3,4-diol",4402
,0,,OCC1OC(n2cnc3c(NC4CCCCC4)ncnc32)C(O)C1O,"2-[6-(cyclohexylamino)purin-9-yl]-5-(hydroxymethyl)oxolane-3,4-diol",2692
,0,,Cc1ccccc1CNc1ncnc2c1ncn2C1OC(CO)C(O)C1O,Th 332; Y 341,4549312
,0,,Nc1ccc(CCNc2ncnc3c2ncn3C2OC(CO)C(O)C2O)cc1,APNEA,4397
,0,,OCC1OC(n2cnc3c(NCCc4ccccc4)ncnc32)C(O)C1O,DTXSID00875053,4398
,0,,NC(=O)c1ncn(C2OC(CO)C(O)C2O)c1O,NSC289637,4213
,0,,C=CCN1CCC23c4c5ccc(O)c4OC2C(=NN=C2CCC4(O)C6Cc7ccc(O)c8c7C4(CCN6CC=C)C2O8)CCC3(O)C1C5,"7-[(4a,9-Dihydroxy-3-prop-2-enyl-2,4,5,6,7a,13-hexahydro-1H-4,12-methanobenzofuro[3,2-e]isoquinolin-7-ylidene)hydrazinylidene]-3-prop-2-enyl-2,4,5,6,7a,13-hexahydro-1H-4,12-methanobenzofuro[3,2-e]isoquinoline-4a,9-diol",4424
,0,,CN(C)CCCOC1C(C(O)CO)OC2OC(C)(C)OC21,SCHEMBL25211989,2158
,0,,COc1ccc2c3c1OC1C(=O)CCC4(O)C(C2)N(CC2CC2)CCC314,"Methoxynaltrexone,3",1246
,0,,CC1(C(=O)O)C2CCC(O2)C1(C)C(=O)O,cantharidic acid,2544
,0,,O=c1cc(O)cc(C=Cc2ccc(O)c(O)c2)o1,"6-[2-(3,4-dihydroxyphenyl)ethenyl]-4-hydroxy-2-pyranone",54722180
,0,,O=C1OC(=O)C2C3CCC(O3)C12,"Hexahydro-4,7-epoxyisobenzofuran-1,3-dione",93004
,0,,CC12C(=O)OC(=O)C1(C)C1CCC2O1,80558-50-5,2545
,0,,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,oxaprozin,4614
,0,,O=C1CN(N=Cc2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1,CHEBI:4317,2952
,0,,OCc1ccc(-c2nn(Cc3ccccc3)c3ccccc23)o1,yc-1,5712
,0,,CC1OC(OC2CC(O)C3(CO)C4C(O)CC5(C)C(C6COC(=O)C6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O,SCHEMBL412984,3068
,0,,COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O,"Furo[3',4':6,7]naphtho[2,3-d]-1,3-dioxol-6(5aH)-one, 9-[(4,6-O-ethylidene-.beta.-D-glucopyranosyl)oxy]-5,8,8a,9-tetrahydro-5-(4-hydroxy-3,5-dimethoxyphenyl)-, [5R-[5.alpha.,5a.beta.,8a.alpha.,9.beta.(R*)]]-",3310
,0,,CCC1C(=O)OCC1Cc1cncn1C,3-ethyl-4-[(3-methylimidazol-4-yl)methyl]oxolan-2-one,4819
,0,,COc1cc(C2c3cc4c(cc3C(O)C3COC(=O)C23)OCO4)cc(OC)c1OC,"(5R,5aS,8aR,9R)-5,8,8a,9-Tetrahydro-9-hydroxy-5-(3,4,5-trimethoxyphenyl)-furo[3',4':6,7]naphtho[2,3-d]-1,3-dioxol-6(5aH)-one",4865
,0,,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,daidzein,5281708
,0,,C=CC1(C)CC(=O)C2(O)C(C)(O1)C(OC(C)=O)C(O)C1C(C)(C)CCC(O)C12C,Forskolin Racemate,3413
,0,,CC1(C)CCC2=C(O1)c1ccccc1C(=O)C2=O,beta-Lapachone,3885
,0,,CCCN1CCOC2c3cc(O)ccc3OCC21,123594-64-9,5117
,0,,O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,morin,5281670
,0,,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,apigenin,5280443
,0,,CC(=O)c1c(O)c(C)c(O)c(Cc2c(O)c3c(c(C(=O)C=Cc4ccccc4)c2O)OC(C)(C)C=C3)c1O,Mallotoxin; NSC 56346; NSC 94525,5103
,0,,O=c1ccc2ccc(O)c(O)c2o1,daphnetin,5280569
,0,,CN1CCC2(CCN3CCc4c(oc5ccccc45)C3C2)N(C)C1=O,"1',3'-dimethylspiro[1,3,4,6,7,12b-hexahydro-[1]benzofuro[2,3-a]quinolizine-2,4'-1,3-diazinane]-2'-one",123679
,0,,O=C(O)c1cc2cc(Cc3cccnc3)ccc2o1,furegrelate,3437
,0,,O=Nc1ccc2oc(=O)ccc2c1,"6-Nitroso-1,2-benzopyrone",1871
,0,,CCC1(C2=NCCN2)Cc2ccccc2O1,Efaroxan,72016
,0,,CCOC(=O)C12CC1C(=NO)c1ccccc1O2,179067-99-3,5126051
,0,,COc1cccc(-c2cc(=O)c3ccccc3o2)c1N,167869-21-8,4713
,0,,CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C,propantheline,4934
,0,,CCn1ccnc1CC1COc2ccccc2O1,Imiloxan,133621
,0,,O=C1NCN(c2ccccc2)C12CCN(CC1COc3ccccc3O1)CC2,Spiroxatrine,5268
,0,,COc1cccc(OC)c1OCCNCC1COc2ccccc2O1,WB-4101,5685
,0,,COc1ccc2c(c[n+](C)c3c4cc5c(cc4ccc23)OCO5)c1OC,chelerythrine,2703
,0,,CC1=NN=C(c2ccc(N)cc2)c2cc3c(cc2C1)OCO3,Gyki-52466,3538
,0,,CCn1cc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,oxolinic acid,4628
,0,,CCn1nc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,cinoxacin,2762
,0,,COC1(C2=NCCN2)COc2ccccc2O1,2-Methoxyidazoxan,108094
,0,,c1ccc2c(c1)CC(N1CCN(c3cccc4c3OCCO4)CC1)C2,146998-34-7,132787
,0,,C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3,SANGUINARINE,5154
,0,,CCN1CCc2nc(N)oc2CC1,Azepexole,2277
