Compound,Life_extended,CAS Number,SMILES,PubChem_Name,PubChem_CID
,0,,Nc1cc(Cl)c(NC2=NCCN2)c(Cl)c1,"2,6-dichloro-1-N-(4,5-dihydro-1H-imidazol-2-yl)benzene-1,4-diamine",2216.0
,0,,O=C(Cc1ccc(Cl)c(Cl)c1)N1CCCCC1CN1CCCC1,"2-(3,4-dichlorophenyl)-1-[2-(pyrrolidin-1-ylmethyl)piperidin-1-yl]ethanone",5244802.0
,0,,NC(N)=NC(N)=Nc1cccc(Cl)c1,2-(3-chlorophenyl)-1-(diaminomethylidene)guanidine,1354.0
,0,,NCCNS(=O)(=O)c1cccc2c(Cl)cccc12,N-(2-aminoethyl)-5-chloronaphthalene-1-sulfonamide,1960.0
,0,,NCCCCCCNS(=O)(=O)c1cccc2c(Cl)cccc12,N-(6-aminohexyl)-5-chloronaphthalene-1-sulfonamide,5681.0
,0,,O=S(=O)(c1cccc2c(Cl)cccc12)N1CCCNCC1,"1-(5-chloronaphthalen-1-yl)sulfonyl-1,4-diazepane",4217.0
,0,,c1ccc(CN2CCC3(CCCc4ccccc43)CC2)cc1,"1'-benzylspiro[2,3-dihydro-1H-naphthalene-4,4'-piperidine]",125328.0
,0,,NCCCNCCCCNCCCN,"N,N'-bis(3-aminopropyl)butane-1,4-diamine",1103.0
,0,,NCCC1CCCC(CCN)N1,2-[6-(2-aminoethyl)piperidin-2-yl]ethanamine,4025.0
,0,,Ic1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1,"3-[[4-(4-iodophenyl)piperazin-1-yl]methyl]-1H-pyrrolo[2,3-b]pyridine",6603897.0
,0,,Clc1cc(I)cc(Cl)c1NC1=NCCN1,"N-(2,6-dichloro-4-iodophenyl)-4,5-dihydro-1H-imidazol-2-amine",4656.0
,0,,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,1-[3-(dimethylamino)propyl]-1-(4-fluorophenyl)-3H-2-benzofuran-5-carbonitrile,2771.0
,0,,Fc1ccc(C(OCCN2CCN(CCCc3ccccc3)CC2)c2ccc(F)cc2)cc1,1-[2-[bis(4-fluorophenyl)methoxy]ethyl]-4-(3-phenylpropyl)piperazine,3455.0
,0,,Fc1ccc(C(OCCCc2cnc[nH]2)c2ccc(F)cc2)cc1,5-[3-[bis(4-fluorophenyl)methoxy]propyl]-1H-imidazole,6603881.0
,0,,Fc1ccc(C(c2ccc(F)cc2)N2CCN(CC=Cc3ccccc3)CC2)cc1,1-[bis(4-fluorophenyl)methyl]-4-(3-phenylprop-2-enyl)piperazine,3378.0
,0,,O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1,"8-[4-(4-fluorophenyl)-4-oxobutyl]-1-phenyl-1,3,8-triazaspiro[4.5]decan-4-one",5265.0
,0,,O=C(CCCN1CCC(O)(c2cccc(C(F)(F)F)c2)CC1)c1ccc(F)cc1,1-(4-fluorophenyl)-4-[4-hydroxy-4-[3-(trifluoromethyl)phenyl]piperidin-1-yl]butan-1-one,5567.0
,0,,Cl.NCC(O)c1cc(O)c(O)cc1F,"4-(2-amino-1-hydroxyethyl)-5-fluorobenzene-1,2-diol;hydrochloride",11957479.0
,0,,Cl.NCCCC(N)(C(=O)O)C(F)F,"2,5-diamino-2-(difluoromethyl)pentanoic acid;hydrochloride",57004.0
,0,,Cl.O=C(OC1CCN(CCCl)CC1)C(c1ccccc1)c1ccccc1,"[1-(2-chloroethyl)piperidin-4-yl] 2,2-diphenylacetate;hydrochloride",11417991.0
,0,,O.O=P1(N(CCCl)CCCl)NCCCO1,"N,N-bis(2-chloroethyl)-2-oxo-1,3,2lambda5-oxazaphosphinan-2-amine;hydrate",22420.0
,0,,Cl.NC1CCN(c2cccc(Cl)n2)CC1,1-(6-chloropyridin-2-yl)piperidin-4-amine;hydrochloride,131746.0
,0,,Cl.NC(N)=NC(=O)c1nc(Cl)c(N)nc1N,"3,5-diamino-6-chloro-N-(diaminomethylidene)pyrazine-2-carboxamide;hydrochloride",16230.0
,0,,Cl.NC(=NCc1ccccc1)NC(=O)c1nc(Cl)c(N)nc1N,"3,5-diamino-N-(N'-benzylcarbamimidoyl)-6-chloropyrazine-2-carboxamide;hydrochloride",5702295.0
,0,,Cl.Clc1cccc(Cl)c1NC1=NCCN1,"N-(2,6-dichlorophenyl)-4,5-dihydro-1H-imidazol-2-amine;hydrochloride",20179.0
,0,,Cl.Clc1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1,"3-[[4-(4-chlorophenyl)piperazin-1-yl]methyl]-1H-pyrrolo[2,3-b]pyridine;hydrochloride",11957618.0
,0,,Cl.Clc1ccc(Cn2c(CN3CCCC3)nc3ccccc32)cc1,1-[(4-chlorophenyl)methyl]-2-(pyrrolidin-1-ylmethyl)benzimidazole;hydrochloride,5309446.0
,0,,Cl.Nc1ccc(-c2ccc3ccccc3n2)cc1,4-quinolin-2-ylaniline;hydrochloride,16219029.0
,0,,Br.COC(=O)C1=CCCN(C)C1,"methyl 1-methyl-3,6-dihydro-2H-pyridine-5-carboxylate;hydrobromide",9301.0
,0,,Br.CN1C2CCC1CC(OC(=O)C(O)c1ccccc1)C2,(8-methyl-8-azabicyclo[3.2.1]octan-3-yl) 2-hydroxy-2-phenylacetate;hydrobromide,5821.0
,0,,Cl.NCC#Cc1ccccc1,3-phenylprop-2-yn-1-amine;hydrochloride,11957674.0
,0,,Cl.Cl.N=C(N)c1ccc(N)cc1,4-aminobenzenecarboximidamide;dihydrochloride,75626.0
,0,,Cl.NC12CC3CC(CC(C3)C1)C2,adamantan-1-amine;hydrochloride,64150.0
,0,,Cl.NN=C(N)N,2-aminoguanidine;hydrochloride,2734687.0
,0,,Cl.N=C(N)c1ccccc1,benzenecarboximidamide;hydrochloride,80289.0
,0,,Cl.Cl.Cn1cnc(CCN)c1,2-(1-methylimidazol-4-yl)ethanamine;dihydrochloride,11957601.0
,0,,Cl.c1ccc2c(CC3=NCCN3)cccc2c1,"2-(naphthalen-1-ylmethyl)-4,5-dihydro-1H-imidazole;hydrochloride",11079.0
,0,,Cl.c1ccc2c(c1)CCCC2C1=NCCN1,"2-(1,2,3,4-tetrahydronaphthalen-1-yl)-4,5-dihydro-1H-imidazole;hydrochloride",10648.0
,0,,O=C(O)CCC(=O)O.c1ccc(C2(c3ccccc3)CC2C2=NCCN2)cc1,"butanedioic acid;2-(2,2-diphenylcyclopropyl)-4,5-dihydro-1H-imidazole",57952.0
,0,,Cl.c1ccc2c(N3CCNCC3)cccc2c1,1-naphthalen-1-ylpiperazine;hydrochloride,2737391.0
,0,,O.c1cnc2c(c1)ccc1cccnc12,"1,10-phenanthroline;hydrate",21226.0
,0,,Cl.c1ccc2nc(C3=NCCN3)ccc2c1,"2-(4,5-dihydro-1H-imidazol-2-yl)quinoline;hydrochloride",11957470.0
,0,,Cl.NCC(O)C1CCCCCCC1,2-amino-1-cyclooctylethanol;hydrochloride,11957507.0
,0,,Cl.O=C(O)C1=CCCN(CCON=C(c2ccccc2)c2ccccc2)C1,"1-[2-(benzhydrylideneamino)oxyethyl]-3,6-dihydro-2H-pyridine-5-carboxylic acid;hydrochloride",123738.0
,0,,Cl.NOCC(=O)O.NOCC(=O)O,2-aminooxyacetic acid;hydrochloride,2723609.0
,0,,Cl.c1ccc(C2CC2)c(OCC2=NCCN2)c1,"2-[(2-cyclopropylphenoxy)methyl]-4,5-dihydro-1H-imidazole;hydrochloride",11957512.0
,0,,Br.COc1ccccc1N1CCN(CCCCN2C(=O)c3ccccc3C2=O)CC1,"2-[4-[4-(2-methoxyphenyl)piperazin-1-yl]butyl]isoindole-1,3-dione;hydrobromide",107966.0
,0,,Br.COc1ccc(-c2ccc(=N)n(CCCC(=O)O)n2)cc1,4-[6-imino-3-(4-methoxyphenyl)pyridazin-1-yl]butanoic acid;hydrobromide,107895.0
,0,,Br.COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3.O,"4-methoxy-17-methyl-17-azatetracyclo[7.5.3.01,10.02,7]heptadeca-2(7),3,5-triene;hydrate;hydrobromide",517291.0
,0,,Cl.Cl.c1ccc(CCCN2CCN(CCOC(c3ccccc3)c3ccccc3)CC2)cc1,1-(2-benzhydryloxyethyl)-4-(3-phenylpropyl)piperazine;dihydrochloride,11957553.0
,0,,Br.C#CCOC(=O)C1=CCCN(C)C1,"prop-2-ynyl 1-methyl-3,6-dihydro-2H-pyridine-5-carboxylate;hydrobromide",189406.0
,0,,Br.CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,"(9-methyl-3-oxa-9-azatricyclo[3.3.1.02,4]nonan-7-yl) 3-hydroxy-2-phenylpropanoate;hydrobromide",517999.0
,0,,CC1CCCC=CC2CC(O)CC2(O)CC=CC(=O)O1,"1,15-dihydroxy-7-methyl-6-oxabicyclo[11.3.0]hexadeca-3,11-dien-5-one",73153241.0
,0,,Cl.NCC1OC(C23CC4CC(CC(C4)C2)C3)Cc2c1ccc(O)c2O,"3-(1-adamantyl)-1-(aminomethyl)-3,4-dihydro-1H-isochromene-5,6-diol;hydrochloride",16069211.0
,0,,Cl.O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,"8-[4-(4-pyrimidin-2-ylpiperazin-1-yl)butyl]-8-azaspiro[4.5]decane-7,9-dione;hydrochloride",36431.0
,0,,O=C(O)C=CC(=O)O.O=C(O)C=CC(=O)O.O=C(O)C=CC(=O)O.O=C1CCCN1CC#CCN1CCCC1.O=C1CCCN1CC#CCN1CCCC1,but-2-enedioic acid;1-(4-pyrrolidin-1-ylbut-2-ynyl)pyrrolidin-2-one,87076.0
,0,,Cl.NNC(N)=O,aminourea;hydrochloride,11236.0
,0,,Cl.Cn1ccc2cc3c(cc21)CCN3C(=O)Nc1cccnc1,"1-methyl-N-pyridin-3-yl-6,7-dihydropyrrolo[2,3-f]indole-5-carboxamide;hydrochloride",11957707.0
,0,,Cl.Cn1ccc2cc(NC(=O)Nc3cccnc3)ccc21,1-(1-methylindol-5-yl)-3-pyridin-3-ylurea;hydrochloride,5311422.0
,0,,Cl.Oc1ccc2c3c1OC1C(O)CCC4(O)C(C2)N(CC2CCC2)CCC314,"3-(cyclobutylmethyl)-1,2,4,5,6,7,7a,13-octahydro-4,12-methanobenzofuro[3,2-e]isoquinoline-4a,7,9-triol;hydrochloride",21931827.0
,0,,Cl.N=c1ccn2c(n1)OC1C(O)C(CO)OC12,"4-(hydroxymethyl)-10-imino-3,7-dioxa-1,9-diazatricyclo[6.4.0.02,6]dodeca-8,11-dien-5-ol;hydrochloride",16757841.0
,0,,Cl.O=C1CCC2(O)C3Cc4ccc(O)c5c4C2(CCN3CC2CC2)C1O5,"3-(cyclopropylmethyl)-4a,9-dihydroxy-2,4,5,6,7a,13-hexahydro-1H-4,12-methanobenzofuro[3,2-e]isoquinolin-7-one;hydrochloride",21863274.0
,0,,Cl.Oc1ccc2c3c1OC1c4[nH]c5ccccc5c4CC4(O)C(C2)N(CC2CC2)CCC314,"22-(cyclopropylmethyl)-14-oxa-11,22-diazaheptacyclo[13.9.1.01,13.02,21.04,12.05,10.019,25]pentacosa-4(12),5,7,9,15,17,19(25)-heptaene-2,16-diol;hydrochloride",16219715.0
,0,,Br.NCc1cc(=O)[nH]o1,"5-(aminomethyl)-1,2-oxazol-3-one;hydrobromide",205536.0
,0,,Cl.O=c1[nH]oc2c1CCNC2,"4,5,6,7-tetrahydro-[1,2]oxazolo[5,4-c]pyridin-3-one;hydrochloride",5702253.0
,0,,Cl.O=C(OCCN1CCOCC1)C1(c2ccccc2)CCCCC1,2-morpholin-4-ylethyl 1-phenylcyclohexane-1-carboxylate;hydrochloride,11314197.0
,0,,Br.COC1CC=C2CCN3CCC4=C(CC(=O)OC4)C23C1,"16-methoxy-5-oxa-10-azatetracyclo[8.7.0.01,13.02,7]heptadeca-2(7),13-dien-4-one;hydrobromide",23446092.0
,0,,O=C(O)C=CC(=O)O.c1cnc(N2CCN(Cc3ccc4c(c3)OCO4)CC2)nc1,"2-[4-(1,3-benzodioxol-5-ylmethyl)piperazin-1-yl]pyrimidine;but-2-enedioic acid",57347673.0
,0,,Cl.c1ccc2c(c1)OCC(C1=NCCN1)O2,"2-(2,3-dihydro-1,4-benzodioxin-3-yl)-4,5-dihydro-1H-imidazole;hydrochloride",154494.0
,0,,Cl.O=C1NCC2(CCN(CCc3ccccc3)CC2)O1,"8-(2-phenylethyl)-1-oxa-3,8-diazaspiro[4.5]decan-2-one;hydrochloride",68626.0
,0,,Cl.N=c1c[n+](N2CCOCC2)[n-]o1,3-morpholin-4-yl-1-oxa-3-azonia-2-azanidacyclopent-3-en-5-imine;hydrochloride,9859122.0
,0,,Cl.Cl.Oc1ccc2c3c1OC1c4[nH]c5c(c4CC4(O)C(C2)N(CC2CC2)CCC314)CC1(O)C2Cc3ccc(O)c4c3C1(CCN2CC1CC1)C5O4,"11,33-bis(cyclopropylmethyl)-19,25-dioxa-11,22,33-triazaundecacyclo[24.9.1.18,14.01,24.02,32.04,23.05,21.07,12.08,20.030,36.018,37]heptatriaconta-4(23),5(21),14(37),15,17,26,28,30(36)-octaene-2,7,17,27-tetrol;dihydrochloride",44134576.0
,0,,C=C1C(=O)OC2C1CCC(C)=CCCC1(C)OC21,"4,8-dimethyl-12-methylidene-3,14-dioxatricyclo[9.3.0.02,4]tetradec-7-en-13-one",4692.0
,0,,Cl.Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1,"4-amino-1-[3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidin-2-one;hydrochloride",5351180.0
,0,,CCC(C)C1OC2(CCC1C)CC1CC(CC=C(C)C(OC3CC(OC)C(OC4CC(OC)C(O)C(C)O4)C(C)O3)C(C)C=CC=C3COC4C(O)C(C)=CC(C(=O)O1)C34O)O2,"6'-butan-2-yl-21,24-dihydroxy-12-[5-(5-hydroxy-4-methoxy-6-methyloxan-2-yl)oxy-4-methoxy-6-methyloxan-2-yl]oxy-5',11,13,22-tetramethylspiro[3,7,19-trioxatetracyclo[15.6.1.14,8.020,24]pentacosa-10,14,16,22-tetraene-6,2'-oxane]-2-one",4330618.0
,0,,Cl.O=C(O)C1=CCNCC1,"1,2,3,6-tetrahydropyridine-4-carboxylic acid;hydrochloride",155107.0
,0,,Cl.OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,1-cyclohexyl-1-phenyl-3-piperidin-1-ylpropan-1-ol;hydrochloride,66007.0
,0,,Cl.NCCCCC(=O)O,5-aminopentanoic acid;hydrochloride,69398.0
,0,,Cl.O=C(O)Cc1cnc[nH]1,2-(1H-imidazol-5-yl)acetic acid;hydrochloride,145685.0
,0,,Br.C=CCN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3,"6-prop-2-enyl-5,6,6a,7-tetrahydro-4H-dibenzo[de,g]quinoline-10,11-diol;hydrobromide",24867499.0
,0,,Cl.NC1(C(=O)O)CCCCC1,1-aminocyclohexane-1-carboxylic acid;hydrochloride,2724466.0
,0,,Cl.NC1(C(=O)O)CC1,1-aminocyclopropane-1-carboxylic acid;hydrochloride,11957445.0
,0,,Cl.O=C(O)C1=CCCNC1,"1,2,3,6-tetrahydropyridine-5-carboxylic acid;hydrochloride",11957555.0
,0,,Cl.NC1C=CC=C(C(=O)O)C1,"5-aminocyclohexa-1,3-diene-1-carboxylic acid;hydrochloride",198382.0
,0,,NC(CO)(CO)CO.O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,"2-amino-2-(hydroxymethyl)propane-1,3-diol;5-benzoyl-2,3-dihydro-1H-pyrrolizine-1-carboxylic acid",84003.0
,0,,Cl.O=C(O)C1CCCN(CCC=C(c2ccccc2)c2ccccc2)C1,"1-(4,4-diphenylbut-3-enyl)piperidine-3-carboxylic acid;hydrochloride",6917797.0
,0,,Cl.NC(CO)C(=O)NNCc1ccc(O)c(O)c1O,"2-amino-3-hydroxy-N'-[(2,3,4-trihydroxyphenyl)methyl]propanehydrazide;hydrochloride",26964.0
,0,,Br.CN1CCc2cc(O)cc3c2C1Cc1ccc(O)c(O)c1-3,"6-methyl-5,6,6a,7-tetrahydro-4H-dibenzo[de,g]quinoline-2,10,11-triol;hydrobromide",24867502.0
,0,,Br.CCCN1CCc2cc(O)cc3c2C1Cc1ccc(O)c(O)c1-3,"6-propyl-5,6,6a,7-tetrahydro-4H-dibenzo[de,g]quinoline-2,10,11-triol;hydrobromide",173603.0
,0,,Br.CCCN(CCC)C1CCc2cccc(O)c2C1,"7-(dipropylamino)-5,6,7,8-tetrahydronaphthalen-1-ol;hydrobromide",6917794.0
,0,,Cl.NCC(O)c1ccc(O)cc1,4-(2-amino-1-hydroxyethyl)phenol;hydrochloride,102484.0
,0,,Cl.Oc1cc2c(cc1O)C1c3ccccc3CNC1CC2,"5,6,6a,7,8,12b-hexahydrobenzo[a]phenanthridine-10,11-diol;hydrochloride",66743628.0
,0,,Br.NC1CCc2cc(O)c(O)cc2C1,"6-amino-5,6,7,8-tetrahydronaphthalene-2,3-diol;hydrobromide",11957526.0
,0,,Br.CCCN(CCC)C1CCc2ccc(O)cc2C1,"7-(dipropylamino)-5,6,7,8-tetrahydronaphthalen-2-ol;hydrobromide",11957566.0
,0,,Br.CN1CCc2cc(O)c(O)cc2C(c2ccccc2)C1,"3-methyl-5-phenyl-1,2,4,5-tetrahydro-3-benzazepine-7,8-diol;hydrobromide",173870.0
,0,,Cl.NCCc1c[nH]c2ccc(O)cc12,3-(2-aminoethyl)-1H-indol-5-ol;hydrochloride,160436.0
,0,,Br.CCCN1CCC2c3cc(O)ccc3CCC21,"3-propyl-1,2,3a,4,5,9b-hexahydrobenzo[e]indol-8-ol;hydrobromide",66749465.0
,0,,CS(=O)(=O)O.Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1,"3-[N-(4,5-dihydro-1H-imidazol-2-ylmethyl)-4-methylanilino]phenol;methanesulfonic acid",91430.0
,0,,Br.CCCN(CCC)CCc1ccc(O)c(O)c1,"4-[2-(dipropylamino)ethyl]benzene-1,2-diol;hydrobromide",11957536.0
,0,,Cl.NCCc1ccc(O)c(O)c1,"4-(2-aminoethyl)benzene-1,2-diol;hydrochloride",65340.0
,0,,Cl.Cl.NNCc1cccc(O)c1,3-(hydrazinylmethyl)phenol;dihydrochloride,2724402.0
,0,,Br.CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1,"5-[1-hydroxy-2-[1-(4-hydroxyphenyl)propan-2-ylamino]ethyl]benzene-1,3-diol;hydrobromide",5702161.0
,0,,Cl.NO,hydroxylamine;hydrochloride,443297.0
,0,,Cl.Cl.OCCN1CCN(CCCN2c3ccccc3C=Cc3ccccc32)CC1,2-[4-(3-benzo[b][1]benzazepin-11-ylpropyl)piperazin-1-yl]ethanol;dihydrochloride,71587.0
,0,,Cl.OCc1cnc[nH]1,1H-imidazol-5-ylmethanol;hydrochloride,122926.0
,0,,O=C(O)c1ccc2ccccc2c1O.OCc1cc(C(O)CNCCCCCCOCCCCc2ccccc2)ccc1O,2-(hydroxymethyl)-4-[1-hydroxy-2-[6-(4-phenylbutoxy)hexylamino]ethyl]phenol;1-hydroxynaphthalene-2-carboxylic acid,56801.0
,0,,Br.Br.N=C(N)SCCc1cccc(CCSC(=N)N)c1,2-[3-(2-carbamimidoylsulfanylethyl)phenyl]ethyl carbamimidothioate;dihydrobromide,11957662.0
,0,,Br.Br.N=C(N)SCCc1ccc(CCSC(=N)N)cc1,2-[4-(2-carbamimidoylsulfanylethyl)phenyl]ethyl carbamimidothioate;dihydrobromide,11957667.0
,0,,Cl.Nc1c2c(nc3ccccc13)CCCC2,"1,2,3,4-tetrahydroacridin-9-amine;hydrochloride",2723754.0
,0,,O=C(O)C=CC(=O)O.O=[N+]([O-])c1ccc2nc(N3CCNCC3)ccc2c1,but-2-enedioic acid;6-nitro-2-piperazin-1-ylquinoline,57357435.0
,0,,[Cl-].c1ccc2c(c1)[I+]c1ccccc1-2,"8-iodoniatricyclo[7.4.0.02,7]trideca-1(13),2,4,6,9,11-hexaene;chloride",2733504.0
,0,,CS(=O)(=O)O.Cc1c(C(=O)c2cccc3ccccc23)c2cccc3c2n1C(CN1CCOCC1)CO3,"methanesulfonic acid;[2-methyl-11-(morpholin-4-ylmethyl)-9-oxa-1-azatricyclo[6.3.1.04,12]dodeca-2,4(12),5,7-tetraen-3-yl]-naphthalen-1-ylmethanone",19366775.0
,0,,Cl.NCCNC(=O)c1ncsc1-c1cccc(F)c1,"N-(2-aminoethyl)-5-(3-fluorophenyl)-1,3-thiazole-4-carboxamide;hydrochloride",5311308.0
,0,,Cl.c1ccc(C2CN3CCSC3=N2)cc1,"6-phenyl-2,3,5,6-tetrahydroimidazo[2,1-b][1,3]thiazole;hydrochloride",68628.0
,0,,O=C(O)C=CC(=O)O.O=C(O)C=CC(=O)O.c1cc(CN2CCCCC2)cc(OCCCNc2nc3ccccc3s2)c1,"but-2-enedioic acid;N-[3-[3-(piperidin-1-ylmethyl)phenoxy]propyl]-1,3-benzothiazol-2-amine",57346360.0
,0,,Cl.Cl.OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,2-[4-[3-[2-(trifluoromethyl)phenothiazin-10-yl]propyl]piperazin-1-yl]ethanol;dihydrochloride,67356.0
,0,,Cl.O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,[6-hydroxy-2-(4-hydroxyphenyl)-1-benzothiophen-3-yl]-[4-(2-piperidin-1-ylethoxy)phenyl]methanone;hydrochloride,54900.0
,0,,Br.Oc1ccc(C2CNCc3sccc32)cc1O,"4-(4,5,6,7-tetrahydrothieno[2,3-c]pyridin-4-yl)benzene-1,2-diol;hydrobromide",11957695.0
,0,,O=C(O)C=CC(=O)O.S=C(NC1CCCCC1)N1CCC(c2cnc[nH]2)CC1,but-2-enedioic acid;N-cyclohexyl-4-(1H-imidazol-5-yl)piperidine-1-carbothioamide,53393972.0
,0,,Br.CN=c1nc(-c2ccccc2)n(-c2ccccc2)s1,"N-methyl-2,3-diphenyl-1,2,4-thiadiazol-5-imine;hydrobromide",11957689.0
,0,,Cl.NCCc1ccc(S(=O)(=O)F)cc1,4-(2-aminoethyl)benzenesulfonyl fluoride;hydrochloride,186136.0
,0,,Br.Br.N=C(N)SCCN,2-aminoethyl carbamimidothioate;dihydrobromide,5940.0
,0,,Br.Br.N=C(N)SCCc1cnc[nH]1,2-(1H-imidazol-5-yl)ethyl carbamimidothioate;dihydrobromide,11957573.0
,0,,Br.CCSC(=N)N,ethyl carbamimidothioate;hydrobromide,200213.0
,0,,Cl.NC(N)=NCCNS(=O)(=O)c1cccc2cnccc12,2-[2-(isoquinolin-5-ylsulfonylamino)ethyl]guanidine;hydrochloride,6917872.0
,0,,Cl.Cl.NCCNS(=O)(=O)c1cccc2cnccc12,N-(2-aminoethyl)isoquinoline-5-sulfonamide;dihydrochloride,11957465.0
,0,,Cl.NCCc1ccc(O)cc1,4-(2-aminoethyl)phenol;hydrochloride,66449.0
,0,,Cl.Cl.NCCSSCCN,2-(2-aminoethyldisulfanyl)ethanamine;dihydrochloride,5941.0
,0,,CCCc1ncc(C[n+]2ccccc2C)c(N)n1,5-[(2-methylpyridin-1-ium-1-yl)methyl]-2-propylpyrimidin-4-amine,2178.0
,1,,C[n+]1cccc(C(N)=O)c1,1-methylpyridin-1-ium-3-carboxamide,457.0
,1,,Cn1c(=O)[nH]c2nc[nH]c2c1=O,"1-methyl-3,7-dihydropurine-2,6-dione",80220.0
,1,,COc1cc(C2Oc3cc(-c4oc5cc(O)cc(O)c5c(=O)c4O)ccc3OC2CO)ccc1O,"3,5,7-trihydroxy-2-[3-(4-hydroxy-3-methoxyphenyl)-2-(hydroxymethyl)-2,3-dihydro-1,4-benzodioxin-6-yl]chromen-4-one",5467200.0
,1,,O=C(O)c1ccnc(C(=O)O)c1,"pyridine-2,4-dicarboxylic acid",10365.0
,1,,CC(C)(C)c1cc(O)c(C(C)(C)C)cc1O,"2,5-ditert-butylbenzene-1,4-diol",2374.0
,1,,CCC1(CC)CCNC1=O,"3,3-diethylpyrrolidin-2-one",9793807.0
,1,,CC1CCC2(C(=O)O)CCC3(C)C(=CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C2C1C,"10-hydroxy-1,2,6a,6b,9,9,12a-heptamethyl-2,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydro-1H-picene-4a-carboxylic acid",220774.0
,1,,CC(CCCC(C)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C)C(=O)O,"6-(10,13-dimethyl-3-oxo-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-17-yl)-2-methylheptanoic acid",580256.0
,1,,O=C(C=Cc1ccccc1)OCC1(O)C(O)C(O)C2C=COC(OC3OC(CO)C(O)C(O)C3O)C21,"[5,6,7-trihydroxy-1-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4a,5,6,7a-tetrahydro-1H-cyclopenta[c]pyran-7-yl]methyl 3-phenylprop-2-enoate",73798874.0
,1,,CC(C)CC(=O)C(=O)O,4-methyl-2-oxopentanoic acid,70.0
,1,,N#Cc1c(-c2ccccc2)no[n+]1[O-],"2-oxido-4-phenyl-1,2,5-oxadiazol-2-ium-3-carbonitrile",1756.0
,1,,CCCCCC=CC(=O)CCc1ccc(O)c(OC)c1,1-(4-hydroxy-3-methoxyphenyl)dec-4-en-3-one,11152.0
,1,,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCCC1,"7-cyclopentyl-5-(4-phenoxyphenyl)pyrrolo[2,3-d]pyrimidin-4-amine",6603792.0
,1,,Cn1cnc2[nH]c(=O)[nH]c(=O)c21,"7-methyl-3H-purine-2,6-dione",68374.0
,1,,O=C(O)C=CCCCCCCCO,10-hydroxydec-2-enoic acid,92837.0
,1,,CC1(C(=O)O)CCC2(C)CCC3(C)C(=CC(=O)C4C5(C)CCC(O)C(C)(C)C5CCC43C)C2C1,"10-hydroxy-2,4a,6a,6b,9,9,12a-heptamethyl-13-oxo-3,4,5,6,6a,7,8,8a,10,11,12,14b-dodecahydro-1H-picene-2-carboxylic acid",3230.0
,1,,CC(=O)Nc1ccc(O)cc1,N-(4-hydroxyphenyl)acetamide,1983.0
,1,,NCCCCN=C(N)N,2-(4-aminobutyl)guanidine,199.0
,1,,CC(N)C(=O)O,2-aminopropanoic acid,602.0
,1,,NC(=O)NC1NC(=O)NC1=O,"(2,5-dioxoimidazolidin-4-yl)urea",204.0
,1,,CCC(C)C(=O)C(=O)O,3-methyl-2-oxopentanoic acid,47.0
,1,,CC(C)C(=O)C(=O)O,3-methyl-2-oxobutanoic acid,49.0
,1,,O=C(O)CCC(=O)C(=O)O,2-oxopentanedioic acid,51.0
,1,,O=C(O)CCCCC1CCSS1,5-(dithiolan-3-yl)pentanoic acid,864.0
,1,,CC(=CCCC1(C)C2CC3C(C2)C31C)CO,"5-(2,3-dimethyl-3-tricyclo[2.2.1.02,6]heptanyl)-2-methylpent-2-en-1-ol",8283.0
,1,,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,"8-chloro-6-piperazin-1-ylbenzo[b][1,4]benzoxazepine",2170.0
,1,,CCNC(=O)N1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,"4-[4,4-bis(4-fluorophenyl)butyl]-N-ethylpiperazine-1-carboxamide",73333.0
